,Company name,Ticker,Date of Breach,Date Became Aware of Breach,Date of Disclosure,Number of Records,Information,Stock Price (0 months DoD),Stock Price (1 months DoD),Stock Price (2 months DoD),Stock Price (3 months DoD),Stock Price (4 months DoD),Stock Price (5 months DoD),Stock Price (6 months DoD),Stock Price (7 months DoD),Stock Price (8 months DoD),Stock Price (9 months DoD),Stock Price (10 months DoD),Stock Price (11 months DoD),Stock Price (12 months DoD),median stock forecast,mean stock forecast,count stock forecast,Financial (Type of Info),Intrusion (Type of Info),ND (Type of Info),Other (Type of Info),Personal (Type of Info),Exploit (Attack),Forged Cookies (Attack),Malware (Attack),Misconfiguration (Attack),ND (Attack),Phishing (Attack),Ransomware (Attack),SQLi (Attack),Spoofing (Attack),Unauthorized Access (Attack),Virus (Attack),rootkit (Attack),Construction (Industry),"Finance, Insurance, Real Estate (Industry)",Manufacturing (Industry),Mining (Industry),N/A (Industry),Retail Trade (Industry),Services (Industry),Transportation & Public Utilities (Industry),Wholesale Trade (Industry),Canada (Region),Foreign (Region),US Mid Atlantic (Region),US Midwest (Region),US New England (Region),US Southeast (Region),US Southwest (Region),US West (Region)
28,Ubiquiti Inc.,UI,,,2021-01-12,,Name | Address | Phone Number | Email | Password,257.45001220703125,356.5599975585937,336.2300109863281,275.17999267578125,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Mimecast Ltd,MIME,,,2021-01-12,3600,Other,51.400001525878906,42.88999938964844,42.59000015258789,41.06999969482422,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
30,"Veritex Holdings, Inc.",VBTX,4/2/2020 - 4/27/2020,2020-05-08 00:00:00,2021-01-11,,ND,28.270000457763672,28.61000061035156,31.59000015258789,34.279998779296875,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,AURORA CANNABIS INC,ACB,2020-12-25 00:00:00,,2021-01-04,,ND,9.520000457763672,13.75,10.460000038146973,9.140000343322754,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,"Matson, Inc.",MATX,,2020-10-14 00:00:00,2021-01-04,,Name | SSN | Other,56.68999862670898,61.380001068115234,73.36000061035156,67.31999969482422,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
33,"T-Mobile US, Inc.",TMUS,,,2020-12-30,200000,Phone Number | Other,133.13999938964844,126.08000183105467,123.56999969482422,123.45999908447266,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34,WHIRLPOOL CORP /DE/,WHR,,,2020-12-28,,Other,185.19000244140625,212.3999938964844,190.0800018310547,223.08999633789065,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Colfax CORP,CFX,11/8/2020 - 11/9/2020,2020-11-16 00:00:00,2020-12-23,,Name|SSN|Other|Bank Account,36.18999862670898,40.59999847412109,44.90999984741211,45.720001220703125,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,"VMWARE, INC.",VMW,,,2020-12-21,,ND,142.22999572753906,132.6699981689453,144.67999267578125,145.97999572753906,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,NVIDIA CORP,NVDA,,,2020-12-21,,ND,533.2899780273438,534.6300048828125,597.0599975585938,513.8300170898438,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,INTEL CORP,INTC,,,2020-12-21,,ND,46.36000061035156,58.66999816894531,63.0099983215332,63.7599983215332,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,"CISCO SYSTEMS, INC.",CSCO,,,2020-12-21,,ND,44.880001068115234,45.34000015258789,45.68000030517578,48.97999954223633,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,MICROSOFT CORP,MSFT,,,2020-12-17,,Intellectual Property,219.27999877929688,212.6499938964844,243.6999969482422,237.7100067138672,260.739990234375,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,"MEDNAX, INC.",MD,,2020-06-19 00:00:00,2020-12-16,45,Name | Address | Email | DOB | SSN | Driver's License | Financial Account Information | Other,22.86000061035156,23.600000381469727,27.71999931335449,28.209999084472656,26.670000076293945,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42,CLEAN HARBORS INC,CLH,,2020-09-02 00:00:00,2020-12-15,772,Name | SSN | Driver's License | Bank Account | Other,72.0999984741211,81.94999694824219,85.41999816894531,89.5,87.4000015258789,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43,SolarWinds Corp,SWI,3/2020 - 6/2020,,2020-12-14,18000,ND,19.6200008392334,14.640000343322754,17.040000915527344,16.81999969482422,18.049999237060547,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
44,Spotify Technology S.A.,SPOT,,2020-11-12 00:00:00,2020-12-09,,Email | Username | Password | DOB | Other,332.8599853515625,353.1099853515625,323.7900085449219,258.3299865722656,280.94000244140625,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45,"FireEye, Inc.",FEYE,,,2020-12-08,,Intellectual Property,15.40999984741211,22.770000457763672,21.459999084472656,19.06999969482422,19.690000534057617,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,II-VI INC,IIVI,,2020-11-19 00:00:00,2020-12-07,,Name | Address | DOB | SSN | Other,72.31999969482422,79.38999938964844,88.0,74.61000061035156,75.47000122070312,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,BERKSHIRE HATHAWAY INC,BRK.A,,2020-08-22 00:00:00,2020-12-01,,Name | Address | SSN | Other,343688.0,345095.0,344100.0,377755.0,390360.0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,MINERALS TECHNOLOGIES INC,MTX,2020-10-20 00:00:00,2020-10-22 00:00:00,2020-11-30,,Name | Address | Phone Number | SSN | DOB | Email | Banking Info | Other,60.66999816894531,61.130001068115234,61.630001068115234,74.06999969482422,74.66999816894531,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,BELDEN INC.,BDC,,,2020-11-27,,ND,39.810001373291016,41.56999969482422,47.84999847412109,44.209999084472656,43.84000015258789,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,CANON INC,CAJ,7/20/2020 - 8/6/2020,2020-08-04 00:00:00,2020-11-25,,Name|Bank Account|Other,18.649999618530277,19.59000015258789,21.479999542236328,22.31999969482422,22.0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Manchester United plc,MANU,,,2020-11-20,,ND,15.539999961853027,16.5,16.030000686645508,16.290000915527344,17.530000686645508,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
52,"WINDSTREAM HOLDINGS, INC.",,7/11/2020 - 8/23/2020,,2020-11-18,,ND,13.479999542236328,14.149999618530272,14.0600004196167,14.229999542236328,14.020000457763672,14.4399995803833,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53,STEEL PARTNERS HOLDINGS L.P.,SPLP,,2020-05-29 00:00:00,2020-11-18,,Name | DOB | SSN | Other,8.130000114440918,8.819999694824219,13.380000114440918,13.779999732971191,14.0600004196167,19.0,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,ViacomCBS Inc.,VIAC,,,2020-11-14,,Name | Email | Password | DOB | Other,30.200000762939453,34.66999816894531,43.119998931884766,58.310001373291016,94.94000244140624,40.4900016784668,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
55,SEACHANGE INTERNATIONAL INC,SEAC,,2020-04-20 00:00:00,2020-11-12,,Name,0.7799999713897705,0.9300000071525574,1.2000000476837158,1.3700000047683716,1.2300000190734863,1.4700000286102295,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,FORWARD AIR CORP,FWRD,6/20/2020-6/26/2020,2020-06-24 00:00:00,2020-11-11,,ND,73.01000213623047,73.4000015258789,79.22000122070312,84.66000366210938,91.08000183105467,89.08000183105469,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57,"Southeastern Grocers, Inc.",SEGR,"9/22/2020, 9,23,2020",2020-09-22 00:00:00,2020-11-11,4,Name | Phone Number | Email | Address | DOB | Username | Password | Other,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
58,GEO GROUP INC,GEO,7/17/2020-8/19/2020,2020-08-19 00:00:00,2020-11-03,,Name | Address | DOB | SSN | Other,9.4399995803833,9.670000076293944,8.859999656677246,8.739999771118164,7.449999809265137,7.690000057220459,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,"SiteOne Landscape Supply, Inc.",SITE,7/2/2020 - 7/14/2020,2020-07-14 00:00:00,2020-10-30,,Name|Address|SSN|Bank Account|Other,124.47000122070312,138.10000610351562,157.07000732421875,157.67999267578125,163.97999572753906,171.42999267578125,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
60,"HOME DEPOT, INC.",HD,2020-10-28 00:00:00,,2020-10-30,,Name | Email | Address | Credit Card | Other,269.6300048828125,277.4100036621094,266.19000244140625,270.82000732421875,261.6199951171875,302.20001220703125,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
61,TAILORED BRANDS INC,,10/10/2019-1/28/2020,2020-09-01 00:00:00,2020-10-26,11,Name | SSN,13.470000267028809,13.779999732971191,14.170000076293944,14.43000030517578,13.880000114440918,14.130000114440918,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62,"Ultra Clean Holdings, Inc.",UCTT,2020-08-03 00:00:00,2020-08-05 00:00:00,2020-10-23,6060,Financial Account Number | Credit Card Number,23.709999084472656,30.1200008392334,32.029998779296875,43.36000061035156,48.369998931884766,55.09000015258789,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,DR REDDYS LABORATORIES LTD,RDY,2020-10-22 00:00:00,2020-10-22 00:00:00,2020-10-22,,ND,67.61000061035156,63.02000045776367,68.18000030517578,68.70999908447266,61.119998931884766,60.09000015258789,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,BRIDGFORD FOODS CORP,BRID,2020-07-25 00:00:00,,2020-10-22,,Name | SSN | Address | DoB,18.149999618530277,18.700000762939453,18.75,17.5,15.640000343322754,15.31999969482422,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,PFIZER INC,PFE,7/1/2020-9/23/2020,,2020-10-21,,Name | Address | Email | Phone Numbers | Other,35.56925964355469,36.70000076293945,37.380001068115234,36.5,34.439998626708984,35.529998779296875,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,TERMINIX GLOBAL HOLDINGS INC,TMX,9/10/2020-9/22/2020,2020-09-26 00:00:00,2020-10-19,14708,Name | SSN | DoB  | Retirement Account | Other,46.959999084472656,48.79999923706055,51.66999816894531,52.06999969482422,49.90999984741211,49.18999862670898,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
67,"T-Mobile US, Inc.",TMUS,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-10-09,1,Name | Address | Phone Number | Account Number | Driver's License | Other,115.48999786376952,122.77999877929688,133.14999389648438,135.05999755859375,126.0999984741211,127.05999755859376,130.11000061035156,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
68,DXP ENTERPRISES INC,DXPE,,2020-08-22 00:00:00,2020-10-09,,Name | SSN,18.31999969482422,21.540000915527344,23.1200008392334,25.57999992370605,27.6299991607666,33.959999084472656,30.780000686645508,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
69,UNIVERSAL HEALTH SERVICES INC,UHS,9/27/2020-10/12/2020,,2020-10-05,,ND,111.54000091552734,112.27999877929688,135.17999267578125,135.27999877929688,131.6999969482422,127.12000274658205,136.3699951171875,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
70,SINCLAIR BROADCAST GROUP INC,SBGI,2020-05-01 00:00:00,2020-07-08 00:00:00,2020-10-05,,Name | Driver's License,18.690000534057617,18.100000381469727,28.90999984741211,31.729999542236328,32.0099983215332,35.65999984741211,29.75,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
71,Unum Group,UNM,12/5/2019-12/132019,2020-07-13 00:00:00,2020-10-02,,Name | SSN | Other,17.0,18.51000022888184,22.489999771118164,22.940000534057617,23.729999542236328,27.200000762939453,28.13999938964844,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,UNIVERSAL HEALTH SERVICES INC,UHS,2020-09-27 00:00:00,,2020-09-29,,ND,104.41000366210938,106.37000274658205,132.11000061035156,136.52999877929688,127.83999633789062,127.9000015258789,135.1300048828125,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
73,VOXX International Corp,VOXX,6/4/2020 - 7/7/2020,2020-07-07 00:00:00,2020-09-28,,Name | Address | Email | SSN | Bank Account | Other,7.949999809265137,13.31999969482422,12.829999923706056,13.130000114440918,19.030000686645508,20.729999542236328,19.350000381469727,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,TOWN SPORTS INTERNATIONAL HOLDINGS INC,CLUBQ,,,2020-09-23,665000,Name | Address | Email | Phone Number,0.25,0.0599999986588954,0.1400000005960464,0.1299999952316284,0.2800000011920929,0.3700000047683716,0.3400000035762787,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
